Name,Address,Phone,State,ProfileURL,Website,ID
448 Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/bendigo/448-dental/A11003655,,A11003655
Camberwell Endodontics,,,VIC,https://www.dentist.com.au/dentist-detail/vic/bendigo/camberwell-endodontics/A20016425,,A20016425
Bendigo Dental Group,,,VIC,https://www.dentist.com.au/dentist-detail/vic/bendigo/bendigo-dental-group/A14011938,,A14011938
Dr Ian Poker - Oral and Maxillofacial Surgeon,,,VIC,https://www.dentist.com.au/dentist-detail/vic/bendigo/dr-ian-poker---oral-and-maxillofacial-surgeon/A11003659,,A11003659
Kennington Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/bendigo/kennington-dental/A16013827,,A16013827
Wills St Dental Surgery,,,VIC,https://www.dentist.com.au/dentist-detail/vic/bendigo/wills-st-dental-surgery/A11003666,,A11003666
Arnold Street Dental Practice,,,VIC,https://www.dentist.com.au/dentist-detail/vic/bendigo/arnold-street-dental-practice/A11000138,,A11000138
Palm Square Dental Care,,,VIC,https://www.dentist.com.au/dentist-detail/vic/kennington/palm-square-dental-care/A11003657,,A11003657
Sunraysia Community Health Services Dental Clinic,,,VIC,https://www.dentist.com.au/dentist-detail/vic/mildura/sunraysia-community-health-services-dental-clinic/A14012211,,A14012211
Danenberg Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/mildura/danenberg-dental/A11000309,,A11000309
Deakin Orthodontic Specialists,,,VIC,https://www.dentist.com.au/dentist-detail/vic/mildura/deakin-orthodontic-specialists/A11003561,,A11003561
Tankard Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/mildura/tankard-dental/A11000079,,A11000079
Mildura Family Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/mildura/mildura-family-dental/A12011258,,A12011258
Lime Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/mildura/lime-dental/A11003559,,A11003559
Chisholm Orthodontics,,,VIC,https://www.dentist.com.au/dentist-detail/vic/mildura/chisholm-orthodontics/A11002404,,A11002404
Somerset Dental Care,,,VIC,https://www.dentist.com.au/dentist-detail/nsw/narellan/somerset-dental-care/A11000308,,A11000308
Tankard Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/red-cliffs/tankard-dental/A12011259,,A12011259
Mooroopna Family Dental Care,,,VIC,https://www.dentist.com.au/dentist-detail/vic/mooroopna/mooroopna-family-dental-care/A11003735,,A11003735
Riverview Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/shepparton/riverview-dental/A11003732,,A11003732
Goulburn Valley Orthodontics,,,VIC,https://www.dentist.com.au/dentist-detail/vic/shepparton/goulburn-valley-orthodontics/A13011791,,A13011791
Goulburn Valley Dental Group,,,VIC,https://www.dentist.com.au/dentist-detail/vic/shepparton/goulburn-valley-dental-group/A20015898,,A20015898
Knight Street Dentists,,,VIC,https://www.dentist.com.au/dentist-detail/vic/shepparton/knight-street-dentists/A11003733,,A11003733
Welsford Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/shepparton/welsford-dental/A16014270,,A16014270
Adina's Dental Cosmetics,,,VIC,https://www.dentist.com.au/dentist-detail/vic/shepparton/adinas-dental-cosmetics/A11003728,,A11003728
National Dental Care Shepparton,,,VIC,https://www.dentist.com.au/dentist-detail/vic/shepparton/national-dental-care-shepparton/A11000845,,A11000845
Bass Coast Health Dental Clinic,,,VIC,https://www.dentist.com.au/dentist-detail/vic/shepparton/bass-coast-health-dental-clinic/A11009349,,A11009349
Maude Street Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/shepparton/maude-street-dental/A11003731,,A11003731
The Perio Group,,,VIC,https://www.dentist.com.au/dentist-detail/vic/shepparton/the-perio-group/A20016422,,A20016422
Goulburn Valley Health Dental Clinic,,,VIC,https://www.dentist.com.au/dentist-detail/vic/shepparton/goulburn-valley-health-dental-clinic/A11009496,,A11009496
McLennan Street Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/mooroopna/mclennan-street-dental/A11010414,,A11010414
Tatura Dental Care,,,VIC,https://www.dentist.com.au/dentist-detail/vic/tatura/tatura-dental-care/A11003734,,A11003734
Nash Orthodontics,,,VIC,https://www.dentist.com.au/dentist-detail/vic/benalla/nash-orthodontics/A11003720,,A11003720
